datetime_utc,dry_bulb_c
1987-02-06T06:45:00.000000+0000,-4.0
1987-02-06T07:45:00.000000+0000,-3.0
1987-02-06T08:45:00.000000+0000,-3.0
1987-02-06T09:45:00.000000+0000,-3.0
1987-02-06T10:45:00.000000+0000,-3.0
1987-02-06T11:45:00.000000+0000,-3.0
1987-02-06T12:45:00.000000+0000,-4.0
1987-02-06T13:50:00.000000+0000,-3.0
1987-02-06T15:50:00.000000+0000,-5.0
1987-02-06T16:50:00.000000+0000,-6.0
1987-02-06T17:50:00.000000+0000,-6.0
1987-02-06T18:50:00.000000+0000,-6.0
1987-02-07T06:20:00.000000+0000,-7.0
1987-02-07T09:50:00.000000+0000,-7.0
1987-02-07T11:50:00.000000+0000,-8.0
1987-02-07T12:50:00.000000+0000,-8.0
1987-02-08T16:50:00.000000+0000,-3.0
1987-02-08T17:50:00.000000+0000,-3.0
1987-02-09T06:50:00.000000+0000,-3.0
1987-02-09T07:50:00.000000+0000,-2.0
1987-02-09T08:50:00.000000+0000,-2.0
1987-02-09T09:50:00.000000+0000,-2.0
1987-02-09T10:50:00.000000+0000,-2.0
1987-02-09T11:50:00.000000+0000,-1.0
1987-02-09T12:50:00.000000+0000,-2.0
1987-02-09T13:45:00.000000+0000,-2.0
1987-02-09T14:45:00.000000+0000,-3.0
1987-02-09T15:45:00.000000+0000,-3.0
1987-02-09T17:45:00.000000+0000,-3.0
1987-02-09T18:45:00.000000+0000,-3.0
1987-02-10T06:50:00.000000+0000,-3.0
1987-02-10T07:45:00.000000+0000,-3.0
1987-02-10T09:45:00.000000+0000,-3.0
1987-02-10T10:45:00.000000+0000,-3.0
1987-02-10T12:45:00.000000+0000,-3.0
1987-02-10T14:50:00.000000+0000,-3.0
1987-02-10T15:50:00.000000+0000,-3.0
1987-02-10T17:50:00.000000+0000,-4.0
1987-02-10T18:50:00.000000+0000,-4.0
1987-02-11T06:50:00.000000+0000,-5.0
1987-02-11T08:50:00.000000+0000,-5.0
1987-02-11T09:50:00.000000+0000,-5.0
1987-02-11T14:20:00.000000+0000,-4.0
1987-02-11T15:50:00.000000+0000,-4.0
1987-02-11T16:50:00.000000+0000,
